artist_id,artist_name,playlist_id
7ySHyUSqpKzGnDqOxLiCFH,Charlotte OC,0
2gsggkzM5R49q6jpPvazou,Jessie J,0
4NHQUGzhtTLFvgF5SZesLK,Tove Lo,0
21E3waRsmPlU7jZsS13rcj,Ne-Yo,0
4oFdxup3UmMDNoLLITyDrs,Shy Girls,0
4pb4rqWSoGUgxm63xmJ8xc,Madeon,0
2wY79sveU1sp5g7SokKOiI,Sam Smith,0
5V6QXzDmQl9KYCcJkVkjBk,Röyksopp & Robyn,0
5ltJZgIW3OkY5WvuzX5MYz,Mr Twin Sister,0
5pdyjBIaY5o1yOyexGIUc6,LIGHTS,0
0t3QQl52F463sxGXb1ckhB,Betty Who,0
5yFs7uz1fxhokqDhTLNQ7a,YUS,0
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,0
5GF3JcY2h0SUPkDlo7ByCB,Caleb Hawley,0
0PFM64sKw3GG4Sk8kqNIcp,Until The Ribbon Breaks,0
6DIS6PRrLS3wbnZsf7vYic,Walk the Moon,1
2eam0iDomRHGBypaDQLwWI,Bleachers,1
3DFoVPonoAAt4EZ1FEI8ue,Sir Sly,1
2XwFZjlnvpwnZSO8QbKErQ,Rich Aucoin,1
3nUbzTTtP2w4HqvT5y5vkV,The Griswolds,1
41SQP16hv1TioVYqdckmxT,Real Estate,1
44CB1c0W2h1XR2vB7AKpa7,The Family Crest,1
2I7tyuDZsBk6BD9Y8YfXtZ,Thief,1
2EO56JK4txid1Pss9GVbOL,Stars,1
7eBDae8nEzoq5GThrBTpRP,Mtns,1
0gCrp7q3f9nR7PQtgcWNuW,Young Liars,1
4iiQabGKtS2RtTKpVkrVTw,Smallpools,1
1cXVTtkpqSXVhyD32f9MS4,High Highs,1
7cfhZmKaLWzNLwHDxzugUH,Little Comets,1
2qiKrh12VcghTug1rduLVm,Wolf Colony,1
53jUEBC2whloRpELoilcy3,Ex Cops,1
75idpsM55NDCel7H06QwKO,Wildcat! Wildcat!,1
7ITd48RbLVpUfheE7B86o2,The Decemberists,1
5gcDZA9xXCOspWgQilUYIu,The Preatures,1
2x7EATekOPhFGRx3syMGEC,The Knocks,2
0Z5pcmXDCKTrFWLnDChC37,Miami Horror,2
0us39l6JBLB9le2XiKhiBR,Panama,2
5PzC9pOeviQlNF6iGlUF5C,Viceroy,2
6xmvWip8eqRc5jqv2bHg9j,Cherokee,2
4BytPrwCFHaxTtfKxoaaxD,The Bots,3
4FZ3j1oH43e7cukCALsCwf,Jack White,3
6kpmxmnekqMcpszFSafJyb,Sequin,3
4IuVLtyKqjn0qmF2Us8vcS,Francisco The Man,3
5vvvgOwPjA4R5t07ZXLLwZ,Geographer,3
3gnrmLahFhVXRI9DA1MImH,We Were Promised Jetpacks,3
3HJIB8sYPyxrFGuwvKXSLR,TV On The Radio,3
6VDdCwrBM4qQaGxoAyxyJC,Cold War Kids,3
6F0kHi7zRjI2YFSNGvU2OT,Santé Les Amis,3
33o00sXuyWiApOFzo0vr0z,Crywolf,3
7jy3rLJdDQY21OgRLCZ9sD,Foo Fighters,3
4UXqAaa6dQYAk18Lv7PEgX,Fall Out Boy,3
7aFTOGFDEqDtJUCziLVsVC,Nao,3
3hozsZ9hqNq7CoBGYNlFTz,OK Go,3
1KP6TWI40m7p3QBTU6u2xo,BØRNS,3
0E6LdQwow5rwxNH9M5eofz,Ugly Kids Club,3
0HDxlFsXwyrpufs4YgTNMm,Phoria,3
2cFrymmkijnjDg9SS92EPM,Blackbear,3
2R9cF9ZqGGfTpXwgi3yiN2,Fictionist,3
0NjyVLii0bdLIS00OS7r31,White Arrows,3
2SkuyvRBCGbU5KSJ7aesDp,Blackbear,3
0QTnH6UEP2jbZEVO6g6Vfe,Said The Whale,3
2lnn5H36McBxbyhPYg10oj,Wake Owl,4
2EhsRPMmPKBic0M4pFJkWk,Twin Oaks,4
4EzkuveR9pLvDVFNx6foYD,James Bay,4
4RwbDag6jWIYJnEGH6Wte9,Drew Holcomb & The Neighbors,4
6GwNGuDRNbx5XwoHQA3QiD,Twin Forks,4
1n5YEhuNLUQG4fyhft986d,Field Report,4
5euJsEvfrlfhYDorMR40OF,Milo Greene,4
0t4oHObO3FImWvIhMimaSL,Strand of Oaks,4
2LSJrlndCuTpdEluvYHc2E,S. Carey,4
0nJaMZM8paoA5HEUTUXPqi,Bear's Den,4
3UAk61T8PItbpgEi9u7ofY,Andrew Belle,4
7kfaJkEGQmDhceMYvn9Ax5,Howard,4
2kGBy2WHvF0VdZyqiVCkDT,Father John Misty,4
74l5kLfO33c4T39eAROuEL,Foreign Fields,4
35WT2rJfREiXV9RuECD1Io,The River Monks,4
2Q0MyH5YMI5HPQjFjlq5g3,Chet Faker,5
648kpaANsUr1HABoE4mkPw,Houses,5
5nPOO9iTcrs9k6yFffPxjH,Röyksopp,5
1O10apSOoAPjOu6UhUNmeI,SBTRKT,5
5NkUpXWkeXspvu7iQQOHhP,Phaeleh,5
2nRa4MTDbaywCvODRKBbW1,Noble Oak,5
