spotify_id,artist,album,spotify_album_id,song,rating
6BAn1zKY1iFjVs0yKGAhfb,Active Child,1999 - Single,0xnb8ktIsIUI2cUXXAqvJl,1999,3
6teKoLtfariG444mTDbtQ9,Aloa Input,Mars etc.,0DjU8hU3pNVmsTMMKar05a,Perry,2
7EssEvfn9fx7t5a9FOMFSP,Aloa Input,Mars etc.,0DjU8hU3pNVmsTMMKar05a,Mad As Hell,2
4rV9TnG5t7ap3qkMR3WPxD,Aloa Input,Mars etc.,0DjU8hU3pNVmsTMMKar05a,Ruth The Communist,2
09VZ9a2c79ZxyVM6hZr2d4,Aloa Input,Mars etc.,0DjU8hU3pNVmsTMMKar05a,Far Away Sun,3
122IftLWz2I74DXhTezn85,Aloa Input,Mars etc.,0DjU8hU3pNVmsTMMKar05a,Vampire Song,3
6W6AuEo2AWxKp4PNGC0j3r,Aloa Input,Mars etc.,0DjU8hU3pNVmsTMMKar05a,The Door,3
1yxJbedViHO2u3EJEQVf4F,Aloa Input,Mars etc.,0DjU8hU3pNVmsTMMKar05a,21St Century Tale,3
6CUuc198rosWs6kqFSc5Kc,Aloa Input,Mars etc.,0DjU8hU3pNVmsTMMKar05a,Blabla Theory,3
2QAUCBvVzCfRdTLRtAS9nM,Aloa Input,Mars etc.,0DjU8hU3pNVmsTMMKar05a,Krk Blues,3
3cAkaE9gcNfW5xZHeDsRqZ,Aloa Input,Mars etc.,0DjU8hU3pNVmsTMMKar05a,Oh Brother,4
4DSQbROT8QhdJAPXrWGgP5,Aloa Input,Mars etc.,0DjU8hU3pNVmsTMMKar05a,Hold On,4
7tILqJUKGei2IAFiarKykb,Amber Run,Pilot EP,6gYzypEY4tTiESfptdoOrB,Thank You,2
3i7Iyc932rv1AZz7gl7dj8,Amber Run,Pilot EP,6gYzypEY4tTiESfptdoOrB,I Found - Acoustic,2
4lRuRtvftdSSUA7hLP7zAr,Amber Run,Pilot EP,6gYzypEY4tTiESfptdoOrB,I Found,3
6Q9tJ4WtmqaaU8FK955WSX,Amber Run,Pilot EP,6gYzypEY4tTiESfptdoOrB,Pilot,4
7o5XSnwPGqyzMfEVueBQnM,Amber Run,Spark,1f9OnWfmuBiKkPHbc2H5un,Spark - Radio Edit,2
7vWaiRjktA38T7jlOC81sF,Amber Run,Spark,1f9OnWfmuBiKkPHbc2H5un,Heaven,2
2P9Nb7r90qOFMK8DUkkWeL,Amber Run,Spark,1f9OnWfmuBiKkPHbc2H5un,Chamber,2
56tNMp3B93TFDbWRg92qZS,Amber Run,Spark,1f9OnWfmuBiKkPHbc2H5un,Hide & Seek,2
0w95lgjozjhE2GbuDVTu2Y,Andrew Belle,Black Bear (Hushed),5zC2WoRHM1XdRsIT2EQ1QM,Wants What It Wants (Hushed),3
3uyNqZbGdfADW6lrnoETjs,Andrew Belle,Black Bear (Hushed),5zC2WoRHM1XdRsIT2EQ1QM,Dark Matter (Hushed),3
0OUcC4cOuicw2BaItw9lcU,Andrew Belle,Black Bear (Hushed),5zC2WoRHM1XdRsIT2EQ1QM,Pieces (Hushed),3
6PO25b9gn41n24tPDtStgq,Andrew Belle,Black Bear (Hushed),5zC2WoRHM1XdRsIT2EQ1QM,I Won't Fight It (Hushed),3
2KQIOAOA8wgjiIlPw13toy,Andrew Belle,Black Bear (Hushed),5zC2WoRHM1XdRsIT2EQ1QM,Sister (Hushed),3
5lvnGiTAH9BVlJLHc0DXZz,Ariana Grande,My Everything (Deluxe),6EVYTRG1drKdO8OnIQBeEj,Just A Little Bit Of Your Heart,2
1rNop31kdDmSj3Ds6xhIeS,Ariana Grande,My Everything (Deluxe),6EVYTRG1drKdO8OnIQBeEj,Hands On Me,2
4eumFsTnduH3zRfaASoAPs,Ariana Grande,My Everything (Deluxe),6EVYTRG1drKdO8OnIQBeEj,My Everything,2
7vS3Y0IKjde7Xg85LWIEdP,Ariana Grande,My Everything (Deluxe),6EVYTRG1drKdO8OnIQBeEj,Problem,3
7xoUc6faLbCqZO6fQEYprd,Ariana Grande,My Everything (Deluxe),6EVYTRG1drKdO8OnIQBeEj,One Last Time,3
40fHWRL8bKcl5J4t4OKUiW,Ariana Grande,My Everything (Deluxe),6EVYTRG1drKdO8OnIQBeEj,Why Try,3
12KUFSHFgT0XCoiSlvdQi4,Ariana Grande,My Everything (Deluxe),6EVYTRG1drKdO8OnIQBeEj,Break Free,3
70yhaHLp9STtzI2Kzba6Tr,Ariana Grande,My Everything (Deluxe),6EVYTRG1drKdO8OnIQBeEj,Best Mistake,3
0fonaf88IEDQM309zmU80L,Ariana Grande,My Everything (Deluxe),6EVYTRG1drKdO8OnIQBeEj,Be My Baby,3
6LQzYkmd8ADbKOOEVDnlG4,Ariana Grande,My Everything (Deluxe),6EVYTRG1drKdO8OnIQBeEj,Only 1,3
3hgl7EQwTutSm6PESsB7gZ,Ariana Grande,My Everything (Deluxe),6EVYTRG1drKdO8OnIQBeEj,You Don't Know Me,3
0HGcQDbRen8luCnwH53sNl,Ariana Grande,My Everything (Deluxe),6EVYTRG1drKdO8OnIQBeEj,Break Your Heart Right Back,4
5J4ZkQpzMUFojo1CtAZYpn,Ariana Grande,My Everything (Deluxe),6EVYTRG1drKdO8OnIQBeEj,Love Me Harder,4
2zMHveC5wOUsJFqdhNcXfZ,Asgeir,In the Silence,69ca0kNrnT5F8jvzNpEjD8,Higher,3
4Kx17fTskTGx3hws95SpOH,Asgeir,In the Silence,69ca0kNrnT5F8jvzNpEjD8,In the Silence,3
2x4DW2FItY2bHdOvEm30kM,Asgeir,In the Silence,69ca0kNrnT5F8jvzNpEjD8,Summer Guest,3
6ebPr3K76DCY8ge2uWZP8G,Asgeir,In the Silence,69ca0kNrnT5F8jvzNpEjD8,King and Cross,3
6Oj1ZEiePGA8JR4PqaV7CX,Asgeir,In the Silence,69ca0kNrnT5F8jvzNpEjD8,Was There Nothing?,3
2y8Z22xnugQImFdU2jNFgB,Asgeir,In the Silence,69ca0kNrnT5F8jvzNpEjD8,Torrent,3
19XBc1N7fzrdG9lCeE7L5w,Asgeir,In the Silence,69ca0kNrnT5F8jvzNpEjD8,Head in the Snow,3
